target,id,date,flag,user,text
0,2253723970,Sat Jun 20 08:38:27 PDT 2009,NO_QUERY,ThtInvisibleKid,i woke up this morning and badly wanted some eggs and bacon... i was too lazy to make it 
0,2058158443,Sat Jun 06 14:22:55 PDT 2009,NO_QUERY,solarpowerspork,@heatherdamico ...i'm not gonna tell you the answer 
4,2068314757,Sun Jun 07 13:52:22 PDT 2009,NO_QUERY,missyleyva,Watching the Longhorns game online... TCU ahead 3-1 top of the 7th. Let's rally!  @ESPN360 is a life saver 
0,2060643962,Sat Jun 06 19:17:51 PDT 2009,NO_QUERY,katypayne,I'm on the last letter for my a-z alphabet of world history. fyi: NOTHING starts with L. 
4,1468611971,Tue Apr 07 02:43:36 PDT 2009,NO_QUERY,thirstforwine,"@chinewinelover there were quite a few wine April fools, but wine is so much fun (or so odd) we don't really need jokes "
4,2179926451,Mon Jun 15 09:46:25 PDT 2009,NO_QUERY,altonkeh,I like people to reply to my tweets 
4,2014733890,Wed Jun 03 02:30:34 PDT 2009,NO_QUERY,Findafurry,Oooooooh. Just received my first box of goodies from @grazedotcom . Yummy + exciting. How to brighten up a Wednesday in the office 
4,1980567211,Sun May 31 07:05:59 PDT 2009,NO_QUERY,Randi1987,@spytel we got thrown under the bus by friends were left behind to sit together. We agreed we in out on purpose sometime this week 
4,1882356182,Fri May 22 06:43:24 PDT 2009,NO_QUERY,AmandaMerritt,"@hawknelson Thanks for the ad! I have seen you guys at revolve and love the energetic atmosphere. However, pictures are hard. Oh well "
0,1880844557,Fri May 22 02:42:24 PDT 2009,NO_QUERY,alisuds,Colettes 18th bday party tonight  I have nothing to wear  x
4,2189293540,Mon Jun 15 23:41:54 PDT 2009,NO_QUERY,sweetiegurl,@ChelseaParadiso I like all the pic's that you just posted 
0,1834483217,Mon May 18 03:06:32 PDT 2009,NO_QUERY,samfreeman,"http://twitpic.com/5f47p - hmm at college, found a way to post on twitter! but have to upload photo!  on X-Box with the ICT crew! good ..."
4,2190771552,Tue Jun 16 03:40:54 PDT 2009,NO_QUERY,corinnetrang,Great review for The Asian Grill...read it right here  http://bit.ly/16JGPP
0,2051928928,Fri Jun 05 23:10:25 PDT 2009,NO_QUERY,gemeg,gemeg @mattpro13 I'm jealous! I'm in Asia    Come here!
0,2207395880,Wed Jun 17 07:52:58 PDT 2009,NO_QUERY,tallchoclate,is trying to add people to her twitter so annoying that i can not find anybody  xx#
4,2191683182,Tue Jun 16 05:46:18 PDT 2009,NO_QUERY,noTHINGfaced,@CalamityK ... But it's still great to see that everyone cares about this 
4,2189851894,Tue Jun 16 01:04:43 PDT 2009,NO_QUERY,rozarria,I am definitely a gaysian. 
0,2058769715,Sat Jun 06 15:35:35 PDT 2009,NO_QUERY,BananaAnna2008,My phone is being stupid again.  Say no to chocolate milk. 
0,2266549498,Sun Jun 21 08:41:58 PDT 2009,NO_QUERY,Grapesodaa,@chrxs ive looked for days  this is worse then the porn they made for senior citizens..are those new slacks?
0,2224648718,Thu Jun 18 09:45:42 PDT 2009,NO_QUERY,hotnizz,"@fenaseniero @chingkeelim Yup, 4 confirmed cases as of two days ago "
0,2216832230,Wed Jun 17 20:01:45 PDT 2009,NO_QUERY,terminusdv,"I was thinking...man it's time for a new computer, but I don't wanna spend any cash monies - wow I'm soo becoming thrifty "
4,2188434473,Mon Jun 15 21:53:36 PDT 2009,NO_QUERY,amie_j22,i finally succumbed to twitter. 
4,1984568565,Sun May 31 15:21:53 PDT 2009,NO_QUERY,jnb987,"@pslovelaine Haha, if you are in town and need an escape, I'd love to grab lunch with you or something to catch up. "
0,1823479328,Sat May 16 22:04:59 PDT 2009,NO_QUERY,Mr_Soft,"ARGH!!! DAMN IT! TwitterFon just crashed &amp; lost all of the tweets that I had stored up from the last 3 days, I was gonna try and catch up "
0,1997375537,Mon Jun 01 16:44:27 PDT 2009,NO_QUERY,jessicapittzer,please God bless family the air france's tripulation  bless BRAZIL!! bless Rio de Janeiro!! bless France!! Bless Argentina!! Bless Germany
0,1991966765,Mon Jun 01 07:58:32 PDT 2009,NO_QUERY,SupaJosh,Wow Today was hot and sucked coz all the exams today 
4,1833901359,Mon May 18 00:52:20 PDT 2009,NO_QUERY,CincauHangus,@royalshortness submit 
0,2251873643,Sat Jun 20 04:50:10 PDT 2009,NO_QUERY,Linkhugger,Cant eay all my jelly and icecream 
4,1982854368,Sun May 31 12:01:57 PDT 2009,NO_QUERY,jasperwhitlock,@renesmeee Yeah! 
0,2237016602,Fri Jun 19 05:01:07 PDT 2009,NO_QUERY,KariDen07,I'm currently listening to Matchbox20's Disease. I don't know if I could go to Adrian's funeral. I totallly feel sorry he's gone forever. 
0,1990044746,Mon Jun 01 03:41:43 PDT 2009,NO_QUERY,shirleylorraine,is so scared for tomorrow's exam  i want this crappy exam to end!
0,2205359284,Wed Jun 17 04:34:00 PDT 2009,NO_QUERY,thegreentieguy,"i am meeting thr woman who wrote the book on theatre safety, which i am syked about. but then she is giving us a test which i am not.. "
4,2016808807,Wed Jun 03 07:23:42 PDT 2009,NO_QUERY,TxPrincess31,@BuellaMarie too cute! I'm resting with one of my dogs  How are you doing? Having better days?
4,2191925584,Tue Jun 16 06:12:44 PDT 2009,NO_QUERY,shaukucz,"@EA_APOC I will try, another challlenge a chance to get some C&amp;C stuff "
0,1750896879,Sat May 09 18:10:51 PDT 2009,NO_QUERY,05Becky,"@theellenshow @pink Damn! Why do I have to have a daytime job, I guess Ill have to watch the show on youtube. "
0,1881654272,Fri May 22 05:14:03 PDT 2009,NO_QUERY,captaindasya,"I miss him, I do. "
0,2188452605,Mon Jun 15 21:55:36 PDT 2009,NO_QUERY,valkyrierisen,"when one thing goes wrong, everything else does too. "
4,2017578236,Wed Jun 03 08:37:06 PDT 2009,NO_QUERY,optimiced,"@sfegette well... I may log an ER for this, if you think so! "
4,2185941938,Mon Jun 15 18:07:39 PDT 2009,NO_QUERY,PurpleMazz,Pink was fantastic!!! As I knew she would be.. 
0,1966612768,Fri May 29 18:05:06 PDT 2009,NO_QUERY,darkessmoon,I listen music &quot;supreme court &amp; feindflug-Selbstjustiz&quot; i luv this song although make me feel sad but is a great song yeaaahh...  hahaha
4,2069790409,Sun Jun 07 16:31:56 PDT 2009,NO_QUERY,IWannaHaveFun,@MyIdolsAlways i know! is in the only thing that i belive! belive me girl! im soppourt u! 
4,2186905082,Mon Jun 15 19:30:24 PDT 2009,NO_QUERY,MikeArnzen,"@MonicaJORourke   I'll keep at it...Ugh, titles can be so hard. If I ever had a child, it would grow up and die before it got named."
0,1989899426,Mon Jun 01 03:12:00 PDT 2009,NO_QUERY,sarabethgraml,Just woke up at the rest stop in West Virginia. So so sick. Someone drive me home  7 hours left.
