intent,response
balance_transfer,Do you want to transfer balance? You can do that from the balance transfer service.
check_data_usage,Do you want to know how much data you have left? You can check it easily in the app.
goodbye,"Take care. If you need anything else, I am here."
greeting,Hello. How can I help you today?
network_complaint,I understand you want to report a network issue. Let me help you submit the complaint.
network_status,Do you want to check the current network status? I can help with that.
no_signal,"If there is no signal on your line, I can help you troubleshoot it."
offer_inquiry,Do you want to know about the latest offers and packages? I can show them to you.
other,Your request is outside the main support categories. Please explain what you need.
payment_issue,"If you are facing a payment problem, I can guide you through the steps."
renew_package,Do you want to renew your package? I can show you the available renewal options.
slow_internet,"If your internet is slow, I can help you check the issue and suggest solutions."
technical_support,Do you need technical support? Tell me the problem and I will guide you.
feedback,Thank you for your feedback. Your opinion matters.
