intent,follow_up
balance_transfer,بدك خطوات التحويل؟
check_data_usage,بدك أشرح لك كيف توصل للتفاصيل؟
goodbye,في شي ثاني قبل ما تروح؟ 👀
greeting,شو حاب تعرف؟ 😄
network_complaint,بدك نكمل تسجيل الشكوى؟
network_status,بدك أتحقق لك من الشبكة؟
no_signal,بدك نجرب حلول ثانية؟
offer_inquiry,بدك أشرح لك العروض المتاحة؟
other,ممكن توضح أكثر؟
payment_issue,بدك أساعدك نحل المشكلة خطوة خطوة؟
renew_package,بدك خطوات الشحن بالتفصيل؟
slow_internet,بدك خطوات نحل المشكلة مع بعض؟
technical_support,احكيلي شو صاير معك بالزبط 👀
feedback,في شي ثاني أقدر أساعدك فيه؟
