text,intent
بدي كم متبقي من الرصيد والنت هالفتره,check_data_usage
انشاء موقع علي شبكه الانترنت لمطعم ايطالي محلي اسم المطعم هو جيوفاني,network_complaint
اريد اريد تجديد الاشتراك في الشغل,renew_package
ساعدني كيف احول رصيد في منطقتي,balance_transfer
ممكن هاي هالفتره,greeting
بدي عندي مشكله تقنيه؟,technical_support
ممكن اعرف هل يوجد عروض افضل هالفتره؟,offer_inquiry
اريد مو في شبكه حاليا,network_complaint
ضعيف من مبارح,slow_internet
اريد هل الشبكه تعمل الان في البيت؟,network_status
هل الشبكه تعمل الان,network_status
بدي اعرف اريد تفاصيل الاشتراك اليوم,offer_inquiry
استفسار مرحباا لو سمحت,greeting
لو سمحت الانترنت دايما بطيء بسرعه,slow_internet
حاب اعرف سرعه النت ضعيفه من مبارح,slow_internet
لو سمحت كم استهلكت من الباقه حاليا؟,check_data_usage
استفسار ليش سعر الاشتراك كل شهر بزيد بسرعه,offer_inquiry
لو سمحت متي بتحلص الباقه ووقت الدفع هالفتره,payment_issue
ممكن اريد تحويل رصيد علي خطي؟,balance_transfer
كيف تصف الاتجاه الحالي لاستهلاك الاغذيه العضويه؟,check_data_usage
كم باقي من الباقه في البيت لو سمحت,check_data_usage
ابحث عن السعر الحالي لطابع من الدرجه الاولي,offer_inquiry
اريد اذا في عروض افضل هالفتره,offer_inquiry
ممكن بدي اجدد الباقه في منطقتي,renew_package
بدي كم استهلكت من النت اليوم,check_data_usage
فيه مشكله بالفاتوره من مبارح,payment_issue
ماذا تعني عباره رقصه التانغو تستغرق شخصين؟,other
لخص عمليه كيفيه عمل الشبكه العصبيه للتعلم العميق,network_complaint
ليش معاملتي ما كملت؟,balance_transfer
لو سمحت عندي مع السلامه وقت الذروه,goodbye
ضع قايمه بثلاثه عوامل قد تسبب صعوبات في الاتصال,network_complaint
ممكن اريد معرفه العروض اليوم؟,offer_inquiry
اريد كم باقي من الباقه بعد الشحن الان,check_data_usage
لو سمحت ليش الرصيد انخصم علي خطي هالفتره,payment_issue
من فضلك التصفح بطيء هالفتره,slow_internet
ساعدني الدفع ما تم هالفتره,payment_issue
بالنظر الي مثال علي سياره ، ابتكر اسما جذابا للمركبه سيارات الدفع الرباعي الكهرباييه,payment_issue
بدي اعرف يوجد مشكله بالفاتوره من الصبح؟,payment_issue
ساعدني ليش فش نت لو سمحت,no_signal
رتب الكلمات التاليه في جمله اليوم ، قم بزياره الجبال,other
لماذا الاتصال يقطع بعد الشحن؟ في الشغل,network_complaint
كم سعر التجوال يوجد قطر؟,offer_inquiry
كيف اغير الباقه اليوم,renew_package
بدي عندي مشكله تقنيه في البيت؟,technical_support
حاب اعرف اهلين من مبارح,greeting
بدي مرحبا هالفتره,greeting
اريد كيف اعرف الرصيد المتبقي من الصبح بسرعه,check_data_usage
علاش خاصني نتحقق من شحن؟,payment_issue
ممكن ليش الشبكه تختفي فجاه اليوم لو سمحت,network_complaint
ممتن الك كثير,feedback
صلاحيه الباقه في الشغل,check_data_usage
