text,intent
Can you show me my current usage details these days?,check_data_usage
Why is the service so poor today?,network_complaint
I need to renew my plan at work.,renew_package
I suddenly lost signal since morning.,no_signal
How can I transfer balance to another number in my area?,balance_transfer
"Hello, can you assist me these days?",greeting
help me good morning right now.,greeting
Can you guide me through troubleshooting?,technical_support
Can you show me the latest promotions these days?,offer_inquiry
please help me with hey for two days.,greeting
There is no signal on my phone on my line.,no_signal
I want to file a complaint about the network service today.,network_complaint
Browsing is slow and the connection feels weak since yesterday.,slow_internet
help me network status on my line?,network_status
How do I renew my subscription?,renew_package
Is the network working now today at home?,network_status
What is the current network status today?,network_status
Are there any new offers available today?,offer_inquiry
Good morning.,greeting
Why is the internet speed so bad today?,slow_internet
"The network is working, but the internet is sluggish since yesterday.",slow_internet
Please tell me how much internet is left today.,check_data_usage
Why is the internet speed so bad?,slow_internet
How much do roaming offers cost?,offer_inquiry
There was an error while paying my bill these days.,payment_issue
I need help transferring balance on my line.,balance_transfer
Can you show me my current usage details?,check_data_usage
I want to know how much data I have left at home.,check_data_usage
What packages do you have right now?,offer_inquiry
I want details about internet packages and offers these days.,offer_inquiry
I need to renew my plan on my line.,renew_package
please top up failed on my number?,payment_issue
I need to renew my plan in my area.,renew_package
I want to know how much data I have left today.,check_data_usage
See you later.,goodbye
"I recharged, but the service still did not work since yesterday.",payment_issue
balance transfer problem on my number?,balance_transfer
I need help with something unrelated to my telecom service.,other
I am upset about the bad network quality.,network_complaint
I want to send credit to someone else.,balance_transfer
Have a good day.,goodbye
I want to file a complaint about the network service.,network_complaint
What packages do you have right now today?,offer_inquiry
I want to know how much data I have left today after recharge.,check_data_usage
"I recharged, but the service still did not work these days on my line.",payment_issue
I want to send credit to someone else these days.,balance_transfer
i want to troubleshoot my connection on?,technical_support
Browsing is slow and the connection feels weak these days.,slow_internet
I need help with a billing or payment problem these days.,payment_issue
I could not complete the payment.,payment_issue
Why did the payment fail since morning?,payment_issue
My line is out of service.,no_signal
I have a question that is not related to telecom services.,other
The connection is unstable and I need to report it these days.,network_complaint
Why is the service so poor at work after recharge?,network_complaint
Goodbye.,goodbye
i am facing helo for no reason.,greeting
How much do roaming offers cost?,offer_inquiry
could you best internet offer?,offer_inquiry
How can I renew my package today?,renew_package
I need help with a technical problem at home.,technical_support
i need to helllo today.,greeting
Hello since yesterday.,greeting
My line is out of service since yesterday.,no_signal
Hey there these days.,greeting
How do I check the rest of my package since morning?,check_data_usage
I need help with a billing or payment problem.,payment_issue
I am upset about the bad network quality today.,network_complaint
can i i need technical support right now?,technical_support
I appreciate your support.,feedback
I want to know how much data I have left at work.,check_data_usage
I could not complete the payment on my line.,payment_issue
My internet is very slow these days.,slow_internet
Can you help with a general request outside your telecom support scope?,other
My line is out of service these days.,no_signal
i want to what plans are available these?,offer_inquiry
Why is the service so poor on my line?,network_complaint
"Hi, I need some help.",greeting
"I recharged, but the service still did not work today after recharge.",payment_issue
How long does a balance transfer take since yesterday?,balance_transfer
Why is the service so poor in my area?,network_complaint
I need technical support.,technical_support
The connection is unstable and I need to report it in my area.,network_complaint
"The network is working, but the internet is sluggish.",slow_internet
Please register a network complaint.,network_complaint
I could not complete the payment.,payment_issue
can you payment failed on my number?,payment_issue
Please help me activate the package again on my line.,renew_package
The connection is unstable and I need to report it in my area.,network_complaint
I need help with a billing or payment problem since morning since yesterday.,payment_issue
The connection is unstable and I need to report it at home.,network_complaint
i would like to best internet offer sinc?,offer_inquiry
How long does a balance transfer take?,balance_transfer
I want to file a complaint about the network service at work.,network_complaint
Please tell me how much internet is left in my area.,check_data_usage
I need to renew my plan at work.,renew_package
internet status today for no reason?,network_status
There is no signal on my phone today.,no_signal
Are there any new offers available today since morning?,offer_inquiry
Are there any new offers available in my area?,offer_inquiry
"Thanks, bye.",goodbye
Goodbye.,goodbye
I have a question that is not related to telecom services.,other
Please tell me how much internet is left at work.,check_data_usage
I want to renew my internet bundle today.,renew_package
Why can't I make or receive calls?,no_signal
Please register a network complaint in my area.,network_complaint
I suddenly lost signal today.,no_signal
My phone shows no service these days.,no_signal
I want to file a complaint about the network service today.,network_complaint
My internet is very slow since morning in my area.,slow_internet
My phone shows no service.,no_signal
I need help transferring balance at home.,balance_transfer
i want to hi right now.,greeting
Why can't I make or receive calls today on my line?,no_signal
How can I transfer balance to another number since yesterday?,balance_transfer
How do I renew my subscription since morning?,renew_package
Have a good day.,goodbye
Can you guide me through troubleshooting today?,technical_support
Is the network working now today?,network_status
I need help with something unrelated to my telecom service.,other
I need to renew my plan after recharge.,renew_package
How can I transfer balance to another number since morning these days?,balance_transfer
Can you show me my current usage details on my line?,check_data_usage
I need help with a billing or payment problem today on my line.,payment_issue
Goodbye these days.,goodbye
How do I check the rest of my package in my area?,check_data_usage
I want to know how much data I have left since morning.,check_data_usage
There is no signal on my phone at work on my line.,no_signal
Can you explain the balance transfer steps?,balance_transfer
I want details about internet packages and offers since yesterday.,offer_inquiry
This request does not match the known support categories.,other
i would like to i need technical support?,technical_support
What packages do you have right now these days?,offer_inquiry
"The network is working, but the internet is sluggish today.",slow_internet
"I recharged, but the service still did not work on my line.",payment_issue
"The network is working, but the internet is sluggish since morning on my line.",slow_internet
I need help with a technical problem at work.,technical_support
"I recharged, but the service still did not work these days on my line.",payment_issue
Are there any new offers available?,offer_inquiry
I want to know whether the service is back since morning.,network_status
Hey there.,greeting
"The network is working, but the internet is sluggish today.",slow_internet
I want to file a complaint about the network service today since yesterday.,network_complaint
"The network is working, but the internet is sluggish.",slow_internet
Why is the internet speed so bad at work?,slow_internet
Can you help with a general request outside your telecom support scope?,other
There was an error while paying my bill.,payment_issue
I want details about internet packages and offers these days.,offer_inquiry
My phone shows no service today.,no_signal
I want to send credit to someone else since yesterday.,balance_transfer
Browsing is slow and the connection feels weak at home in my area.,slow_internet
There is no signal on my phone these days.,no_signal
This is another type of request outside the main intents.,other
How can I check my remaining data and balance today in my area?,check_data_usage
"Hi, I need some help.",greeting
I need to renew my plan at home.,renew_package
Can you show me my current usage details since yesterday at home?,check_data_usage
Why did the payment fail at home after recharge?,payment_issue
"I recharged, but the service still did not work in my area.",payment_issue
I suddenly lost signal.,no_signal
My phone shows no service.,no_signal
How much do roaming offers cost?,offer_inquiry
There was an error while paying my bill.,payment_issue
I need help with a billing or payment problem today.,payment_issue
What packages do you have right now?,offer_inquiry
Can you show me the latest promotions at work?,offer_inquiry
Please register a network complaint.,network_complaint
The connection is unstable and I need to report it today these days.,network_complaint
Is the network working now today on my line?,network_status
Browsing is slow and the connection feels weak today.,slow_internet
I want details about internet packages and offers at home.,offer_inquiry
Can you check if there is a network issue in my area?,network_status
Is the internet working properly right now these days?,network_status
I need to renew my plan.,renew_package
Please register a network complaint today.,network_complaint
I want to file a complaint about the network service since morning.,network_complaint
Can you show me my current usage details today at home at work?,check_data_usage
Why is the service so poor?,network_complaint
How do I renew my subscription after recharge on my line?,renew_package
There is no signal on my phone at work.,no_signal
I could not complete the payment.,payment_issue
Please register a network complaint since morning since yesterday.,network_complaint
Please register a network complaint since morning.,network_complaint
What packages do you have right now today?,offer_inquiry
Why did the payment fail?,payment_issue
Hello on my line.,greeting
Talk to you later.,goodbye
Good morning today.,greeting
please top up failed right now?,payment_issue
What is the current network status in my area?,network_status
I need help with a technical problem in my area.,technical_support
I need help with a billing or payment problem.,payment_issue
Please register a network complaint today.,network_complaint
Browsing is slow and the connection feels weak at work.,slow_internet
"The network is working, but the internet is sluggish today.",slow_internet
Please register a network complaint today.,network_complaint
What packages do you have right now?,offer_inquiry
Please connect me to support these days.,technical_support
Why is the service so poor since morning?,network_complaint
What packages do you have right now today since morning?,offer_inquiry
See you later.,goodbye
Please help me activate the package again at work after recharge.,renew_package
i am facing good morning on my line.,greeting
Can you guide me through troubleshooting these days?,technical_support
Can you show me the latest promotions?,offer_inquiry
Why is the internet speed so bad today?,slow_internet
I want to file a complaint about the network service.,network_complaint
I want to know how much data I have left.,check_data_usage
My internet is very slow today at home.,slow_internet
I want details about internet packages and offers these days.,offer_inquiry
Can you show me the latest promotions since yesterday?,offer_inquiry
Are there any new offers available today?,offer_inquiry
How can I renew my package since morning on my line?,renew_package
Why is the service so poor at home at work?,network_complaint
Why did the payment fail?,payment_issue
I need help transferring balance these days on my line.,balance_transfer
i need to what offers do you have?,offer_inquiry
I could not complete the payment.,payment_issue
I am facing slow internet today these days.,slow_internet
I am upset about the bad network quality at home.,network_complaint
Browsing is slow and the connection feels weak.,slow_internet
I am upset about the bad network quality in my area.,network_complaint
can you top up failed in my area?,payment_issue
"Hi, I need some help on my line.",greeting
The connection is unstable and I need to report it in my area.,network_complaint
How can I renew my package?,renew_package
I want details about internet packages and offers.,offer_inquiry
Why is the service so poor in my area?,network_complaint
I need to renew my plan since morning.,renew_package
I need help with a billing or payment problem.,payment_issue
Please tell me how much internet is left on my line.,check_data_usage
i want to internet status today since mo?,network_status
Can you show me my current usage details today these days?,check_data_usage
I need to renew my plan on my line.,renew_package
How much do roaming offers cost?,offer_inquiry
can you help with helo after recharge.,greeting
The connection is unstable and I need to report it since yesterday at home after recharge.,network_complaint
What is the current network status these days?,network_status
Can you show me the latest promotions on my line?,offer_inquiry
"Hi, I need some help today.",greeting
What packages do you have right now at home?,offer_inquiry
Why can't I make or receive calls today these days?,no_signal
See you later.,goodbye
Can you show me the latest promotions today?,offer_inquiry
I want to know whether the service is back today.,network_status
Can you check if there is a network issue today?,network_status
How long does a balance transfer take today?,balance_transfer
I need help with a billing or payment problem.,payment_issue
How can I renew my package?,renew_package
Can you show me the latest promotions on my line?,offer_inquiry
"Hello, can you assist me?",greeting
I need help transferring balance.,balance_transfer
Browsing is slow and the connection feels weak today since morning.,slow_internet
What is the current network status in my area?,network_status
"Thanks, bye at home.",goodbye
i want to best internet offer today?,offer_inquiry
I need help transferring balance.,balance_transfer
Why is the service so poor today?,network_complaint
I want details about internet packages and offers on my line.,offer_inquiry
i would like to what plans are available?,offer_inquiry
How long does a balance transfer take?,balance_transfer
How can I check my remaining data and balance in my area?,check_data_usage
Browsing is slow and the connection feels weak these days.,slow_internet
What is the current network status on my line?,network_status
Talk to you later since morning.,goodbye
Why did the payment fail today?,payment_issue
I need help with a billing or payment problem at work.,payment_issue
How do I check the rest of my package in my area?,check_data_usage
Why is the internet speed so bad today?,slow_internet
why can't a beneficiary receive a money?,balance_transfer
Are there any new offers available?,offer_inquiry
I want to renew my internet bundle at work.,renew_package
What is the current network status on my line?,network_status
My line is out of service since morning these days.,no_signal
I want details about internet packages and offers in my area.,offer_inquiry
Can you show me the latest promotions today?,offer_inquiry
See you later after recharge.,goodbye
i want to hello urgently.,greeting
roaming pricing details?,offer_inquiry
I want to send credit to someone else since morning.,balance_transfer
Can you help with a general request outside your telecom support scope?,other
There is no signal on my phone.,no_signal
Can you show me my current usage details at work?,check_data_usage
What is the current network status at work?,network_status
Why is the service so poor in my area?,network_complaint
I am upset about the bad network quality.,network_complaint
Can you check if there is a network issue today?,network_status
I suddenly lost signal today.,no_signal
I want to file a complaint about the network service on my line.,network_complaint
See you later after recharge.,goodbye
Are there any new offers available?,offer_inquiry
I need help with something unrelated to my telecom service.,other
I want to cancel a balance transfer since yesterday.,balance_transfer
I am facing slow internet.,slow_internet
I am upset about the bad network quality in my area.,network_complaint
Why is the service so poor?,network_complaint
Why can't I make or receive calls on my line?,no_signal
I need help with a billing or payment problem today.,payment_issue
I want to know whether the service is back at home.,network_status
Talk to you later.,goodbye
How can I transfer balance to another number today?,balance_transfer
I need help with something unrelated to my telecom service.,other
How can I transfer balance to another number?,balance_transfer
My internet is very slow on my line.,slow_internet
This is another type of request outside the main intents.,other
I could not complete the payment.,payment_issue
Please tell me how much internet is left.,check_data_usage
I appreciate your support.,feedback
Why is the internet speed so bad?,slow_internet
payment error since morning?,payment_issue
Please tell me how much internet is left today on my line.,check_data_usage
How can I check my remaining data and balance today?,check_data_usage
Please help me activate the package again these days.,renew_package
My internet is very slow today.,slow_internet
Goodbye these days.,goodbye
What packages do you have right now these days?,offer_inquiry
There is no signal on my phone today.,no_signal
I am facing slow internet today.,slow_internet
"The network is working, but the internet is sluggish.",slow_internet
Can you show me my current usage details?,check_data_usage
How can I check my remaining data and balance on my line?,check_data_usage
i have helllo on my number.,greeting
How long does a balance transfer take?,balance_transfer
There was an error while paying my bill in my area.,payment_issue
Can someone help me fix this issue today?,technical_support
"Hi, I need some help.",greeting
Are there any new offers available?,offer_inquiry
Can you show me my current usage details since morning?,check_data_usage
My internet is very slow today.,slow_internet
Can you help with a general request outside your telecom support scope?,other
Can you show me my current usage details today?,check_data_usage
Goodbye since morning.,goodbye
What packages do you have right now today?,offer_inquiry
Is the network working now on my line?,network_status
linux  windows.,other
My internet is very slow today after recharge.,slow_internet
Are there any new offers available?,offer_inquiry
I need help with something unrelated to my telecom service.,other
Please tell me how much internet is left on my line.,check_data_usage
How do I check the rest of my package?,check_data_usage
How do I check the rest of my package these days after recharge?,check_data_usage
Goodbye today.,goodbye
I have a question that is not related to telecom services.,other
How do I renew my subscription at work after recharge?,renew_package
I want to cancel a balance transfer since yesterday.,balance_transfer
Why is the service so poor at home?,network_complaint
I want to file a complaint about the network service at work.,network_complaint
How do I renew my subscription today?,renew_package
I need to renew my plan.,renew_package
Browsing is slow and the connection feels weak today.,slow_internet
Please register a network complaint today.,network_complaint
Can you explain the balance transfer steps on my line?,balance_transfer
Is the network working now on my line?,network_status
Why did the payment fail?,payment_issue
How can I renew my package at work?,renew_package
I am facing slow internet today these days.,slow_internet
Hello.,greeting
I need to renew my plan these days.,renew_package
I am upset about the bad network quality today.,network_complaint
Browsing is slow and the connection feels weak these days.,slow_internet
please what offers do you have since yes?,offer_inquiry
"Thanks, bye today.",goodbye
html?,payment_issue
What is the current network status?,network_status
The connection is unstable and I need to report it today at work.,network_complaint
I want to renew my internet bundle today.,renew_package
Why is the internet speed so bad?,slow_internet
Talk to you later.,goodbye
sfo lax?,offer_inquiry
i need to helllo right now.,greeting
I want details about internet packages and offers since morning.,offer_inquiry
My internet is very slow on my line.,slow_internet
How can I renew my package since yesterday?,renew_package
How can I renew my package?,renew_package
Why is the internet speed so bad today?,slow_internet
I suddenly lost signal at work.,no_signal
How can I transfer balance to another number today?,balance_transfer
The connection is unstable and I need to report it today.,network_complaint
balance transfer problem on my number?,balance_transfer
Can you show me the latest promotions today since morning?,offer_inquiry
What packages do you have right now?,offer_inquiry
How long does a balance transfer take on my line?,balance_transfer
I want details about internet packages and offers today since yesterday.,offer_inquiry
Why did the payment fail at home?,payment_issue
I am upset about the bad network quality.,network_complaint
please technical support please in my ar?,technical_support
My internet is very slow at work.,slow_internet
I suddenly lost signal today.,no_signal
How do I check the rest of my package today at home?,check_data_usage
Can you show me the latest promotions in my area?,offer_inquiry
My phone shows no service in my area.,no_signal
How do I renew my subscription since morning?,renew_package
I could not complete the payment today.,payment_issue
I am facing slow internet today at home at work.,slow_internet
How can I renew my package?,renew_package
I am upset about the bad network quality on my line.,network_complaint
I want to file a complaint about the network service today.,network_complaint
Can you check if there is a network issue?,network_status
How can I check my remaining data and balance?,check_data_usage
please is the internet working urgently?,network_status
This is another type of request outside the main intents.,other
I want to file a complaint about the network service.,network_complaint
There was an error while paying my bill.,payment_issue
I suddenly lost signal.,no_signal
I want to file a complaint about the network service.,network_complaint
Why is the service so poor today?,network_complaint
Goodbye at work.,goodbye
I could not complete the payment.,payment_issue
I want to send credit to someone else since yesterday.,balance_transfer
There is no signal on my phone today.,no_signal
can you billing problem at home?,payment_issue
Why did the payment fail today after recharge?,payment_issue
Are there any new offers available?,offer_inquiry
please troubleshoot my connection on my?,technical_support
i need to check network status these day?,network_status
See you later.,goodbye
help me i need help with internet these?,technical_support
Can you show me my current usage details today these days on my line?,check_data_usage
Please tell me how much internet is left at home.,check_data_usage
How do I check the rest of my package?,check_data_usage
"Hello, can you assist me in my area?",greeting
Why is the service so poor?,network_complaint
My line is out of service at work on my line.,no_signal
How long does a balance transfer take since morning?,balance_transfer
what is the roaming price in egypt?,offer_inquiry
Goodbye.,goodbye
Why did the payment fail?,payment_issue
Why is the service so poor at work?,network_complaint
I want to renew my internet bundle at work.,renew_package
Why is the service so poor these days?,network_complaint
This request does not match the known support categories.,other
See you later.,goodbye
What packages do you have right now since morning?,offer_inquiry
Have a good day at work.,goodbye
sqlite?,offer_inquiry
I could not complete the payment today.,payment_issue
How do I check the rest of my package today these days at work?,check_data_usage
Can you show me my current usage details after recharge?,check_data_usage
Can you check if there is a network issue since yesterday?,network_status
I am facing slow internet.,slow_internet
How do I check the rest of my package since morning?,check_data_usage
I want to send credit to someone else at work.,balance_transfer
Can you show me the latest promotions in my area?,offer_inquiry
What packages do you have right now at home?,offer_inquiry
There is no signal on my phone since yesterday these days.,no_signal
Goodbye.,goodbye
Please register a network complaint in my area.,network_complaint
The connection is unstable and I need to report it at home.,network_complaint
how can i verify my identity?,technical_support
The connection is unstable and I need to report it at home.,network_complaint
Can you show me the latest promotions?,offer_inquiry
I need help with a billing or payment problem these days.,payment_issue
Please help me activate the package again.,renew_package
I want details about internet packages and offers today.,offer_inquiry
The connection is unstable and I need to report it today.,network_complaint
The connection is unstable and I need to report it on my line.,network_complaint
The connection is unstable and I need to report it at work.,network_complaint
Please tell me how much internet is left since yesterday.,check_data_usage
Why is the service so poor at work?,network_complaint
I could not complete the payment today after recharge.,payment_issue
I want to know how much data I have left today in my area.,check_data_usage
How can I renew my package on my line?,renew_package
"Hello, can you assist me?",greeting
my payment did not go through?,payment_issue
I need help with a technical problem.,technical_support
This request does not match the known support categories.,other
Are there any new offers available today since morning?,offer_inquiry
I am upset about the bad network quality after recharge.,network_complaint
I need help with something unrelated to my telecom service.,other
Talk to you later today.,goodbye
I need help transferring balance.,balance_transfer
Why can't I make or receive calls today?,no_signal
I want to file a complaint about the network service these days.,network_complaint
How can I renew my package?,renew_package
i need help with internet during peak ti?,technical_support
This is another type of request outside the main intents.,other
please show me internet offers since mor?,offer_inquiry
I am upset about the bad network quality.,network_complaint
This request does not match the known support categories.,other
My internet is very slow these days.,slow_internet
Why is the internet speed so bad?,slow_internet
There is no signal on my phone today in my area.,no_signal
I am facing slow internet these days at home.,slow_internet
What packages do you have right now?,offer_inquiry
Please register a network complaint.,network_complaint
Can you show me my current usage details since yesterday?,check_data_usage
How can I renew my package?,renew_package
"The network is working, but the internet is sluggish today since yesterday.",slow_internet
How do I renew my subscription today?,renew_package
Please connect me to support.,technical_support
How do I check the rest of my package today at home?,check_data_usage
I want to send credit to someone else at home.,balance_transfer
Have a good day.,goodbye
I need help with a billing or payment problem since morning.,payment_issue
I am facing slow internet since yesterday.,slow_internet
Can you guide me through troubleshooting at home?,technical_support
"Hi, I need some help.",greeting
"The network is working, but the internet is sluggish since yesterday.",slow_internet
Why is the internet speed so bad at work?,slow_internet
Why is the service so poor on my line?,network_complaint
I need help with a billing or payment problem after recharge.,payment_issue
Can someone help me fix this issue?,technical_support
I am upset about the bad network quality in my area.,network_complaint
There is no signal on my phone today.,no_signal
Can you show me my current usage details?,check_data_usage
Browsing is slow and the connection feels weak these days.,slow_internet
The connection is unstable and I need to report it at home after recharge.,network_complaint
Please register a network complaint today.,network_complaint
How can I renew my package today?,renew_package
Talk to you later today.,goodbye
Can you explain the balance transfer steps on my line?,balance_transfer
I want details about internet packages and offers today.,offer_inquiry
Hello these days.,greeting
How do I renew my subscription?,renew_package
Can you check if there is a network issue?,network_status
I am facing slow internet at home.,slow_internet
hey since yesterday.,greeting
See you later.,goodbye
I want to send credit to someone else.,balance_transfer
Please register a network complaint.,network_complaint
How do I renew my subscription after recharge?,renew_package
Hey there today.,greeting
Are there any new offers available today?,offer_inquiry
Can you show me my current usage details today?,check_data_usage
Can you show me my current usage details since morning?,check_data_usage
Why is the service so poor these days?,network_complaint
I want to file a complaint about the network service.,network_complaint
"The network is working, but the internet is sluggish at home in my area.",slow_internet
Why is the service so poor these days?,network_complaint
Are there any new offers available?,offer_inquiry
I want to file a complaint about the network service since morning at work.,network_complaint
Can you explain the balance transfer steps?,balance_transfer
Can you show me my current usage details at home in my area?,check_data_usage
i need to top up failed today?,payment_issue
My line is out of service on my line.,no_signal
I need help with something unrelated to my telecom service.,other
I want details about internet packages and offers today in my area.,offer_inquiry
Please register a network complaint today.,network_complaint
Why is the service so poor these days?,network_complaint
I want to send credit to someone else in my area.,balance_transfer
I want to file a complaint about the network service today.,network_complaint
I want to send credit to someone else since morning.,balance_transfer
See you later at home.,goodbye
Have a good day since yesterday.,goodbye
My line is out of service at home.,no_signal
This is another type of request outside the main intents.,other
Hey there.,greeting
My internet is very slow today.,slow_internet
The connection is unstable and I need to report it today.,network_complaint
"The network is working, but the internet is sluggish.",slow_internet
please internet status today at work?,network_status
Can you show me the latest promotions today?,offer_inquiry
How can I transfer balance to another number on my line?,balance_transfer
Can you show me my current usage details?,check_data_usage
I am upset about the bad network quality on my line.,network_complaint
help me fix my internet on my line?,technical_support
Can you check if there is a network issue today?,network_status
I want to file a complaint about the network service.,network_complaint
This request does not match the known support categories.,other
My phone shows no service.,no_signal
My phone shows no service.,no_signal
How can I renew my package since morning?,renew_package
This request does not match the known support categories.,other
i want support for hey at work.,greeting
My internet is very slow at home.,slow_internet
i need to balance transfer problem on my?,balance_transfer
"I recharged, but the service still did not work at work.",payment_issue
I need to renew my plan today.,renew_package
Goodbye.,goodbye
Please help me activate the package again on my line.,renew_package
I want to renew my internet bundle in my area.,renew_package
How do I renew my subscription?,renew_package
I want to send credit to someone else.,balance_transfer
There was an error while paying my bill since morning after recharge.,payment_issue
I want to know how much data I have left.,check_data_usage
Goodbye today.,goodbye
Please help me activate the package again.,renew_package
"Hello, can you assist me on my line?",greeting
Is the network working now today at home at work?,network_status
Please help me activate the package again today.,renew_package
I need help with a billing or payment problem these days.,payment_issue
please billing problem at home?,payment_issue
Can you check if there is a network issue on my line?,network_status
I want to renew my internet bundle today.,renew_package
I am upset about the bad network quality.,network_complaint
Why did the payment fail?,payment_issue
How can I renew my package today after recharge on my line?,renew_package
can you help with helllo during peak tim.,greeting
There is no signal on my phone today.,no_signal
i need to i need help with internet?,technical_support
Browsing is slow and the connection feels weak today at home.,slow_internet
I am upset about the bad network quality at work.,network_complaint
Hey there on my line.,greeting
i would like to technical support please?,technical_support
Hello after recharge.,greeting
I am facing slow internet.,slow_internet
I am facing slow internet today.,slow_internet
I need help with a billing or payment problem today.,payment_issue
Thanks a lot.,feedback
I want to renew my internet bundle in my area.,renew_package
Browsing is slow and the connection feels weak today on my line.,slow_internet
how can i transfer balance after recharg?,balance_transfer
I need help transferring balance.,balance_transfer
I want to renew my internet bundle today.,renew_package
I need help transferring balance.,balance_transfer
Can you help with a general request outside your telecom support scope?,other
Please connect me to support since yesterday.,technical_support
How much do roaming offers cost?,offer_inquiry
The connection is unstable and I need to report it today these days.,network_complaint
How can I check my remaining data and balance today since morning?,check_data_usage
Have a good day.,goodbye
I want to send credit to someone else on my line.,balance_transfer
How much do roaming offers cost?,offer_inquiry
How can I check my remaining data and balance today since morning in my area?,check_data_usage
I want to renew my internet bundle at home.,renew_package
I could not complete the payment.,payment_issue
"Hello, can you assist me?",greeting
How can I renew my package?,renew_package
Are there any new offers available?,offer_inquiry
My phone shows no service at work.,no_signal
I need help with a technical problem these days.,technical_support
I need help with a billing or payment problem today after recharge.,payment_issue
How long does a balance transfer take?,balance_transfer
I want to file a complaint about the network service on my line.,network_complaint
Are there any new offers available since yesterday?,offer_inquiry
Hello.,greeting
